Meeting Type;Vote Date;Vote Number;Agenda Description;Vote Start Date Time;Vote Decision
Council;2022-11-07;8839;2023 Council Meetings Schedule;2022-11-07T17:05:45-08:00;Carried Unanimously
Council;2022-11-07;8840;Acting Mayor, Deputy Mayor and Roster of Councillors to Represent Council;2022-11-07T17:09:21-08:00;Carried Unanimously
Council;2022-11-07;8841;Appointments to Council Committees;2022-11-07T17:10:20-08:00;Carried Unanimously
Council;2022-11-07;8842;Appointment of Council Representatives to Regional Bodies;2022-11-07T17:10:55-08:00;Carried Unanimously
Council;2022-11-07;8843;Appointment of Council Representatives to Boards, Statutory Committees and Non-Profit Societies;2022-11-07T17:11:42-08:00;Carried Unanimously
Council;2022-11-07;8844;Appointments to the Intergovernmental UNDRIP Task Force;2022-11-07T17:12:17-08:00;Carried Unanimously
Council;2022-11-15;8848;Business License Hearing Panels â€“ November and December 2022;2022-11-15T09:39:38-08:00;Carried Unanimously
Council;2022-11-15;8849;Applications to Government of British Columbia Funding Programs;2022-11-15T09:43:28-08:00;Carried Unanimously
Council;2022-11-15;8850;Extended Hours for Liquor Establishments and Restaurants During the 2022 FIFA World Cup;2022-11-15T09:52:11-08:00;Carried Unanimously
Council;2022-11-15;8851;Accessibility Audit of all City-Owned Assets;2022-11-15T10:14:57-08:00;Carried Unanimously
Council;2022-11-15;8852;Changes to 2022 Council Meetings Schedule;2022-11-15T10:39:20-08:00;Carried Unanimously
Council;2022-11-15;8853;Appointment of External Auditor for 2023;2022-11-15T10:39:45-08:00;Carried Unanimously
Council;2022-11-15;8854;Changes to the Acting Mayor, Deputy Mayor and Roster of Duty Councillors to Represent Council;2022-11-15T10:40:11-08:00;Carried Unanimously
Council;2022-11-15;8855;City of Vancouver Representative Endorsement to the Federation of Canadian Municipalities;2022-11-15T10:42:11-08:00;Carried Unanimously
Council;2022-11-15;8856;Quarterly Capital Budget Adjustments and Closeouts;2022-11-15T10:42:48-08:00;Carried Unanimously
Council;2022-11-15;8857;Vancouver Heritage Register 2022 Update;2022-11-15T10:43:25-08:00;Carried Unanimously
Council;2022-11-15;8858;"Approval of Council Initiatives â€“ Business Improvement Area (BIA) Renewals 2023
November 1, 2022";2022-11-15T10:44:01-08:00;Carried Unanimously
Council;2022-11-15;8859;Miscellaneous Amendments Concerning Various CD-1 By-laws;2022-11-15T10:44:34-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8860;1.  2022 Cultural Grants (Equity, Indigenous, Artists, Spaces);2022-11-16T09:42:50-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8861;2. 2022 Supportive Housing Integration Grants;2022-11-16T12:03:01-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8862;3. Vancouver Civic Theatres Rental Rates 2023-2024;2022-11-16T12:04:06-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8863;4. Vancouver Civic Theatres Activating Spaces Grant 2023;2022-11-16T12:04:46-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8864;5. Vancouver Community Sport Hosting Grant - Fall 2022 Intake;2022-11-16T12:05:17-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8865;6. Single Room Accommodation (SRA) Demolition Permit for 172 East Cordova and 307 Main Street;2022-11-16T12:06:11-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8866;7. Contract Award for the South Kinross Park Construction;2022-11-16T12:07:01-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8867;8. Contract Award for Security Services;2022-11-16T12:07:29-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8868;9. Adopting the International Holocaust Remembrance Alliance (IHRA) Working Definition of Antisemitism (Member's Motion B.2);2022-11-16T17:09:25-08:00;Carried
Policy & Strategic Priorities;2022-11-16;8869;10. Urgent Measures to Uplift Vancouver's Chinatown (Member's Motion B.3);2022-11-16T19:19:42-08:00;Lost
Policy & Strategic Priorities;2022-11-16;8870;10. Urgent Measures to Uplift Vancouver's Chinatown (Member's Motion B.3);2022-11-16T19:22:52-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-16;8871;10. Urgent Measures to Uplift Vancouver's Chinatown (Member's Motion B.3);2022-11-16T19:33:47-08:00;Carried Unanimously
Special Council;2022-11-22;8873;1. Business Licence #22-160041 (Short Term Rental) - 414-180 East 2nd Avenue;2022-11-22T11:07:19-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8874;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T15:28:01-08:00;Carried
Policy & Strategic Priorities;2022-11-22;8875;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T15:44:14-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8876;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T15:45:10-08:00;Carried
Policy & Strategic Priorities;2022-11-22;8877;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T15:46:09-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8878;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T15:59:54-08:00;Lost
Policy & Strategic Priorities;2022-11-22;8879;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T16:10:31-08:00;Carried
Policy & Strategic Priorities;2022-11-22;8880;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T16:21:23-08:00;Carried
Policy & Strategic Priorities;2022-11-22;8881;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T16:22:53-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8882;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T16:30:34-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8883;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T16:42:27-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8884;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T17:12:09-08:00;Carried
Policy & Strategic Priorities;2022-11-22;8885;11. Enabling the Requisitioning and Hiring of 100 New Police Officers and 100 Mental Health Nurses (Member's Motion B.5);2022-11-22T17:12:41-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8886;12.\tTransport Pricing â€“ 'Stopping the Road Tax' (Memberâ€™ Motion B.6);2022-11-22T17:32:46-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-11-22;8887;12. Transport Pricing - 'Stopping the Road Tax' (Member' Motion B.6);2022-11-22T17:37:53-08:00;Carried Unanimously
Special Council;2022-11-23;8888;Business Licence 22-157207 (Short Term Rental) - 802-183 Keefer Place;2022-11-23T20:27:30-08:00;Carried Unanimously
Council;2022-12-06;8889;Communication 1 - Acting Mayor, Deputy Mayor and Roster of Councillors to Represent Council â€“ 2023;2022-12-06T09:48:05-08:00;Carried Unanimously
Council;2022-12-06;8890;R1a. 2023 Engineering Fees;2022-12-06T09:49:25-08:00;Carried Unanimously
Council;2022-12-06;8891;R1b. 2023 Annual Review of Water Rates and Water Works By-law Amendments;2022-12-06T09:50:51-08:00;Carried Unanimously
Council;2022-12-06;8892;R1c. 2023 Annual Review of Sewer Rates Under the Sewer & Watercourse By-law;2022-12-06T09:51:39-08:00;Carried Unanimously
Council;2022-12-06;8893;R1d. 2023 Solid Waste Utility (SWU) Fees and By-law Changes;2022-12-06T09:52:36-08:00;Carried Unanimously
Council;2022-12-06;8894;R1e. 2023 False Creek Neighbourhood Energy Utility ('NEU') Customer Rates;2022-12-06T09:53:20-08:00;Carried Unanimously
Council;2022-12-06;8895;R1f. 2023 Capital and Operating Budget;2022-12-06T10:15:38-08:00;Carried Unanimously
Council;2022-12-06;8896;R2. Annual Financial Authorities - 2023;2022-12-06T11:01:40-08:00;Carried Unanimously
Council;2022-12-06;8897;Communication 1 - Acting Mayor, Deputy Mayor and Roster of Councillors to Represent Council â€“ 2023 - amendment;2022-12-06T11:02:05-08:00;Carried Unanimously
Council;2022-12-06;8898;R3. 2023 Land Assessment Averaging: Notice to BC Assessment Authority;2022-12-06T11:02:56-08:00;Carried Unanimously
Council;2022-12-06;8899;R4. Miscellaneous Changes to the Building Board of Appeal By-law;2022-12-06T11:03:52-08:00;Carried Unanimously
Council;2022-12-06;8900;Communication 1 - Acting Mayor, Deputy Mayor and Roster of Councillors to Represent Council â€“ 2023 - amendment;2022-12-06T11:04:14-08:00;Carried Unanimously
Council;2022-12-06;8901;RR1. CD-1 Rezoning: 3575-3655 Kaslo Street, 3580-3644 Slocan Street and 2755 East 21st Avenue;2022-12-06T11:04:48-08:00;Carried Unanimously
Council;2022-12-06;8903;RR2. CD-1 Rezoning: 1063-1075 Barclay Street;2022-12-06T11:05:56-08:00;Carried Unanimously
Council;2022-12-06;8904;RR3. CD-1 Rezoning: 5562-5688 Manson Street;2022-12-06T11:06:26-08:00;Carried Unanimously
Council;2022-12-06;8905;RR4. Rezoning: 7057-7075 Oak Street and 1015 West 54th Avenue;2022-12-06T11:07:03-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8908;1. Contract Award for Fire Hall No. 9 Consulting Services;2022-12-07T09:39:57-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8909;6. Closure and Sale of a Portion of Lane Adjacent to 150 West Pender Street;2022-12-07T09:43:17-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8910;6. Closure and Sale of a Portion of Lane Adjacent to 150 West Pender Street;2022-12-07T09:44:12-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8911;7. Reducing Barriers and Deepening Affordability for Non-Profit, Co-op and Social Housing in Every Neighbourhood - Amendment;2022-12-07T14:54:09-08:00;Carried
Policy & Strategic Priorities;2022-12-07;8912;7. Reducing Barriers and Deepening Affordability for Non-Profit, Co-op and Social Housing in Every Neighbourhood;2022-12-07T15:02:39-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8913;8. Establishing Fixed-Rate Community Amenity Contributions (CACs) for Low-Rise and Medium-Rise Projects City-Wide;2022-12-07T15:09:50-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8914;9. Reviewing Vancouver's Age-Friendly Action Plan and Aligning with WHO's Age-Friendly Cities Framework;2022-12-07T15:50:18-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8915;10. Harmonizing City of Vancouver and Provincial Childcare Policies and Licensing Requirements - Amendment to the Amendment;2022-12-07T16:55:34-08:00;Lost
Policy & Strategic Priorities;2022-12-07;8916;10. Harmonizing City of Vancouver and Provincial Childcare Policies and Licensing Requirements - Amendment to the Amendment;2022-12-07T17:00:09-08:00;Lost
Policy & Strategic Priorities;2022-12-07;8917;10. Harmonizing City of Vancouver and Provincial Childcare Policies and Licensing Requirements - Amendment;2022-12-07T17:02:29-08:00;Carried
Policy & Strategic Priorities;2022-12-07;8918;10. Harmonizing City of Vancouver and Provincial Childcare Policies and Licensing Requirements - Sections A and D;2022-12-07T17:12:19-08:00;Carried
Policy & Strategic Priorities;2022-12-07;8919;10. Harmonizing City of Vancouver and Provincial Childcare Policies and Licensing Requirements - Sections B and C;2022-12-07T17:13:15-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8920;11. Implementing Body-Worn Cameras (BWC) for the Vancouver Police Department (VPD) - Amendment;2022-12-07T18:21:17-08:00;Lost
Policy & Strategic Priorities;2022-12-07;8921;11. Implementing Body-Worn Cameras (BWC) for the Vancouver Police Department (VPD) - Amendment;2022-12-07T18:30:50-08:00;Lost
Policy & Strategic Priorities;2022-12-07;8922;11. Implementing Body-Worn Cameras (BWC) for the Vancouver Police Department (VPD);2022-12-07T18:47:06-08:00;Carried
Policy & Strategic Priorities;2022-12-07;8923;2. Contract Award for the City of Vancouver Transition to SAP Cloud;2022-12-07T18:52:40-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8924;3. Contract Award for Heavy Duty Equipment Rentals and Leases;2022-12-07T18:53:15-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8925;4. 2022 Community Services and Other Social Grants;2022-12-07T18:54:24-08:00;Carried Unanimously
Policy & Strategic Priorities;2022-12-07;8926;5. 102 East Pender Street - Sun Ah Hotel - Heritage Facade Grant;2022-12-07T18:55:10-08:00;Carried Unanimously
Public Hearing;2022-12-08;8928;1. Miscellaneous Amendments Concerning Various CD-1 By-laws;2022-12-08T18:17:30-08:00;Carried Unanimously
Auditor General Committee;2022-12-16;8930;1. Amendments to City of Vancouver Policies;2022-12-16T09:34:58-08:00;Carried Unanimously
Auditor General Committee;2022-12-16;8931;2. Office of the Auditor General 2023 Budget Request;2022-12-16T09:59:05-08:00;Carried Unanimously
Auditor General Committee;2022-12-16;8932;3. COMMS: Auditor General Committee 2023 Meeting Plan;2022-12-16T10:04:58-08:00;Carried Unanimously
Public Hearing;2023-01-17;8953;1. CD-1 Rezoning: 1063-1075 Barclay Street;2023-01-17T19:11:26-08:00;Carried Unanimously
Public Hearing;2023-01-17;8954;2. CD-1 Rezoning: 5562-5688 Manson Street;2023-01-17T19:53:55-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-01-18;8955;6. Contract Award for Supply of Used Mattress Recycling Services;2023-01-18T11:43:58-08:00;Carried Unanimously
Policy & Strategic Priorities;2023-01-18;8956;5. Contract Award for the Supply and Delivery of Large Fire Apparatus;2023-01-18T18:18:36-08:00;Carried Unanimously
