Row Type,Vote,Description,Date,Outcome,NewsLink,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr
Vote,2023 operating budget,"Sets the city's tax, policing, service, and infrastructure priorities for the year.",2023-02-28,Pass,https://www.cbc.ca/news/canada/british-columbia/vancouver-budget-property-tax-increase-1.6763926,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Opposed,,
CouncilVote,9062,1. 2023 Draft Operating Budget - Final motion - Clause A(a),2023-02-28,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,In Opposition,,
CouncilVote,9063,1. 2023 Draft Operating Budget - Final motion - Clause A(b)(c)(d)(e)(f),2023-02-28,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,,
CouncilVote,9064,1. 2023 Draft Operating Budget - Final motion - Clause B to J,2023-02-28,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,2025 operating budget,"Sets the city's tax rate, service levels, police funding, and capital priorities for 2025.",2024-12-10,Pass,https://globalnews.ca/news/10910982/vancouver-budget-3-9-tax-hike/,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Absent,,
CouncilVote,10383,"R1f) A (THAT, a, b, c, and FURTHER THAT), and B through J - 2025 Draft Operating and Capital Budget",2024-12-10,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,2026 Zero-Means-Zero Budget,Directs staff to prepare a 2026 budget with no property-tax increase.,2025-11-25,Pass,https://globalnews.ca/news/11469811/vancouver-council-property-tax-freeze/,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Opposed,Opposed,,,Opposed,Opposed
CouncilVote,11164,Proposed 2026 Operating and Capital Budget - Final motion as amended,2025-11-25,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,,,In Opposition,In Opposition
,,,,,,,,,,,,,,,,,,
Vote,Low-income transit pass,"Calls for a $25-a-month transit pass for people earning less than $40,000.",2026-06-03,Pass,https://www.cbc.ca/news/canada/british-columbia/low-income-transit-pass-vancouver-9.7222730,Supported,Supported,Supported,Absent,Supported,Absent,Supported,Supported,Supported,,,Supported,Supported
,,,,,,,,,,,,,,,,,,
Vote,Empty Homes Tax Frozen,Keeps the Empty Homes Tax at 3% rather than increasing it to 5%.,2023-05-10,Pass,https://www.cbc.ca/news/canada/british-columbia/vancouver-empty-home-tax-increases-1.6839316,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9263,2. REPORT BACK - Increasing the Empty Homes Tax to Five Percent and Improving Compliance,2023-05-10,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Accelerated Climate Measures,"Direction to staff to accelerate climate measures, including supporting active transportation, EVs, heat pumps",2023-06-14,Pass,https://dailyhive.com/vancouver/vancouver-climate-emergency-action-plan-cost,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9330,R1. Climate Emergency Action Plan - Additional and Accelerated Climate Measures,2023-06-14,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
